ID,Target
2,0.024255246
5,0.03174773
6,0.0132731795
7,0.07194176
9,0.016017884
11,0.18849194
12,0.053741813
15,0.14472368
16,0.067893356
17,0.038437605
19,0.012963325
21,0.012440413
22,0.035814703
24,0.017422378
27,0.0076099336
28,0.01919803
30,0.052103847
33,0.014084816
35,0.0242849
37,0.04164347
38,0.019154757
40,0.19411582
41,0.1088236
44,0.006665528
46,0.13812813
47,0.020509303
48,0.0142757
50,0.016819417
52,0.16009176
53,0.061933875
55,0.09542337
57,0.014576644
58,0.042714715
59,0.08962223
62,0.01515758
63,0.0192734
64,0.021270573
65,0.020968735
67,0.019922227
69,0.020789355
70,0.015238464
71,0.026256114
72,0.01860407
73,0.008490622
76,0.006764829
78,0.014144838
79,0.0142070055
81,0.014545351
85,0.019660264
86,0.014085203
89,0.021102726
94,0.12369326
96,0.011241317
97,0.032435447
98,0.020081937
99,0.07636669
100,0.24783522
103,0.10753971
104,0.0153335035
108,0.008960873
110,0.018248677
112,0.043007433
114,0.08674377
116,0.021751523
117,0.016864061
119,0.05339825
120,0.0058403313
121,0.01650989
123,0.011433393
124,0.01657033
126,0.017842174
128,0.017727822
129,0.043883443
133,0.030332834
138,0.011268854
147,0.10244703
149,0.09198648
158,0.014275491
160,0.015920967
164,0.022119373
167,0.03571382
168,0.017972112
174,0.016372979
181,0.040436834
185,0.030560583
187,0.015694171
189,0.014070809
190,0.022984326
194,0.019760251
197,0.07440776
198,0.10100362
201,0.10399458
205,0.010233343
208,0.021638513
211,0.021618485
216,0.07723132
219,0.06850225
223,0.012404025
224,0.12770438
226,0.09798631
229,0.017705977
230,0.02520129
237,0.026690722
238,0.10397324
240,0.04663205
243,0.01806274
245,0.23162466
246,0.2871678
247,0.019525588
248,0.025398582
249,0.014084816
250,0.20119956
251,0.018276751
255,0.09795931
256,0.020433992
257,0.049061716
260,0.23650005
261,0.020453185
263,0.15703234
264,0.12506756
267,0.0034900308
268,0.019894123
272,0.011677593
274,0.008429199
275,0.02040416
277,0.1594652
278,0.17616764
280,0.0021353662
281,0.03813073
282,0.03649673
283,0.015026391
284,0.016762346
286,0.098062634
290,0.01302579
291,0.018678963
293,0.10581088
295,0.070373446
297,0.016212314
298,0.08328101
300,0.0016081333
304,0.009405106
305,0.0034357905
308,0.016756803
309,0.0144227445
310,0.022193104
312,0.017073184
313,0.11908147
315,0.061754405
317,0.03414783
318,0.121282935
321,0.022582352
323,0.0637818
325,0.016180158
326,0.09144461
327,0.02707988
328,0.17903894
329,0.027237415
330,0.026016265
331,0.01613468
334,0.04779467
335,0.008730203
336,0.065454215
337,0.013197154
338,0.09141302
339,0.09659967
341,0.11599383
343,0.033144712
346,0.01545617
348,0.020674467
350,0.04380837
351,0.0158225
352,0.08571643
357,0.03532684
358,0.019272864
360,0.015134454
361,0.08610627
364,0.011153698
365,0.05231598
366,0.019412965
367,0.010753661
368,0.019210488
370,0.017137915
372,0.0059514046
376,0.01311484
377,0.0149098635
379,0.070741236
380,0.0827364
381,0.061533183
385,0.021780938
386,0.026845396
389,0.031495184
391,0.033016264
392,0.024984598
393,0.008886427
395,0.023037761
396,0.010327607
397,0.01064381
398,0.0087291
399,0.021629453
400,0.018357158
401,0.013821453
403,0.005688697
405,0.02147919
406,0.011995405
409,0.05931765
411,0.058584183
413,0.032940686
